bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
внедорожник 5 дв.,HYUNDAI,серебристый,бензин,2015,5,2018,автоматическая,2.0 LTR,150 N12,1806000
хэтчбек 5 дв.,VAZ,зелёный,бензин,2001,5,2008,механическая,1.6 LTR,81 N12,85000
внедорожник 5 дв.,HYUNDAI,белый,бензин,2010,5,2012,автоматическая,2.0 LTR,150 N12,955000
внедорожник 5 дв.,VOLKSWAGEN,белый,бензин,2011,5,2013,автоматическая,2.0 LTR,170 N12,1169000
внедорожник 5 дв.,MINI,белый,бензин,2010,5,2011,автоматическая,1.6 LTR,98 N12,1099000
седан,FORD,серый,дизель,2010,4,2011,автоматическая,2.0 LTR,140 N12,625000
внедорожник 5 дв.,LEXUS,белый,гибрид,2014,5,2015,вариатор,2.5 LTR,155 N12,2750000
седан,NISSAN,серебристый,бензин,2006,4,2012,механическая,1.6 LTR,107 N12,425000
пикап двойная кабина,TOYOTA,белый,дизель,2015,4,2019,автоматическая,2.8 LTR,177 N12,4038000
хэтчбек 5 дв.,KIA,белый,бензин,2017,5,2018,автоматическая,1.3 LTR,84 N12,1120000
внедорожник 5 дв.,MITSUBISHI,чёрный,бензин,2012,5,2012,вариатор,2.4 LTR,167 N12,1145000
лифтбек,BMW,белый,дизель,2009,5,2011,автоматическая,3.0 LTR,245 N12,1780000
хэтчбек 5 дв.,SKODA,чёрный,бензин,2010,5,2013,механическая,1.2 LTR,70 N12,395000
седан,MERCEDES,чёрный,бензин,2009,4,2011,автоматическая,3.5 LTR,306 N12,1495000
седан,KIA,белый,бензин,2016,4,2018,автоматическая,2.0 LTR,150 N12,1450000
универсал 5 дв.,KIA,белый,бензин,2015,5,2015,автоматическая,1.6 LTR,130 N12,1015000
внедорожник 5 дв.,UAZ,белый,бензин,2016,5,2017,механическая,2.7 LTR,135 N12,709900
седан,PORSCHE,бежевый,электро,2019,4,2021,автоматическая, LTR,571 N12,11147000
универсал 5 дв.,KIA,серебристый,бензин,2015,5,2018,автоматическая,1.6 LTR,130 N12,1210000
внедорожник 5 дв.,MERCEDES,чёрный,бензин,2019,5,2020,автоматическая,3.0 LTR,435 N12,8597000
внедорожник 5 дв.,BMW,серый,бензин,2013,5,2018,автоматическая,3.0 LTR,306 N12,3708000
седан,HONDA,чёрный,бензин,2005,4,2007,автоматическая,2.0 LTR,155 N12,580000
внедорожник 5 дв.,INFINITI,чёрный,бензин,2017,5,2020,автоматическая,5.6 LTR,405 N12,6900000
универсал 5 дв.,NISSAN,белый,бензин,1997,5,1998,автоматическая,2.0 LTR,140 N12,325000
